Don't get attached.,너무 정주지 마
"Well, I can cross that off my bucket list.",버킷리스트에서 지워도 되겠어
This is how it always looks.,이게 원래 늘 이래
You wouldn't even have any money.,너 돈 한 푼도 없을 걸
Oh I'm so sorry if I woke you up.,"아고, 혹시 내가 깨웠다면 정말 미안해"
You're pathetic,너 한심하다
"It's none of my business, but you deserve better than that guy.","오지랖인 건 아는데, 넌 더 좋은 사람 만날 자격이 있어"
You're worth more than that.,너는 그것보다 훨씬 더 가치 있는 사람이야
I'm supposed to believe you about this?,"내가 지금 이 일에 대해 네 말을 믿어야 한다는 거야?"" or ""내가 네 말을 어떻게 믿어?"""
I want you gone by the time I get back.,나 돌아올 때까지 너 여기서 나가 있어
You weren't suppossed to be home.,너 지금 집에 올 시간 아니잖아.
Let me help you with that.,"""내가 그것 좀 도와줄게"
Can I get a hit off that?,나 그것 좀 한 입(조금)만 먹어도 돼?
It's a picture of a person sweating profusely.,그건 어떤 사람이 땀을 엄청나게 뻘뻘 흘리고 있는 사진이야.
I go through this with my wife all the time.,"나도 내 아내랑 맨날 겪는 일이야."""
It's inaudible.,소리가 안 들려.
I kid you not.,I'm not joking
 Can you guys keep it down in public spaces?,공공장소에서는 소리 좀 낮춰(조용히 해) 줄래
It's not proper etiquette.,"""그건 올바른 예의(에티켓)가 아니야."
When did it turn it 11?,언제 벌써 11시가 됐지
I'm running out of time!,나 지금 시간이 촉박해!
I'm showing you my favorite movie and I keep hitting you with this look during the best scenes.,가 너한테 최애 영화 보여주면서 명장면 나올 때마다 계속 이런 눈빛(표정)으로 쳐다보는 중
I know what this like.,나 이거 어떤 느낌인지 알아
You're certain that this scene is hilarious or provocative or profound.,"너는 이 장면이 진짜 엄청 웃기거나, 자극적이거나, 아니면 깊은 여운을 준다고 확신하고 있는 거지."""
What the hell's going on here?,"여기 지금 개판이네, 무슨 상황이야?"
Why aren't they nodding?,왜 고개를 안 끄덕이지?
I already shoved it all in the garbage.,그거 전부 다 이미 쓰레기통에 처박았어(버렸어)
It's matter of perspective,어떻게 보느냐에 따라 달라
It's like wish fulfillment.,"""바라던 게 현실이 된 것 같아"
"Speaking of being introverted or self-conscious or shy, a lot of people have hard time learning English.","내향적이거나, 남의 시선을 의식하거나, 부끄러움을 타는 것에 대해 말하자면, 많은 사람들이 영어 학습에 어려움을 겪어"
you don't know until you rip it open.,직접 뜯어서(열어서) 확인해 보기 전까지는 모른다
So we hold it back.,그래서 우린 (하고 싶은 말을/감정을) 꾹 참았지
Pepole are talking about it as if it's like the greatest movie ever made.,"사람들은 그 영화가 무슨 역사상 최고의 명작인 것처럼 떠들어대."""
Is the world playing a joke on us?,지금 온 세상이 우리 몰래 카메라(장난)라도 치고 있는 거야?
Everyone was in the same page that what we saw isn't real.,"우리가 본 게 진짜가(엉터리) 아니라는 점에선 다들 의견이 일치했었잖아."""
But everyone is glowing about it.,"근데 다들 아주 입이 마르도록 극찬을 하고 있네."""
"You know how you have to separate the whites and the light colors from blue, for example, because colors might bleed into them?","""예를 들면, 파란색 옷에서 물이 빠져서 다른 옷에 밸 수도 있으니까 흰옷이랑 밝은 색 옷들을 분리해야 하는 거 알잖아?"""
You have a little saliva on your finger.,너 손가락에 침 묻었어.
Yo he turned this thing off.,"야, 얘 이거(기계나 화면 등) 꺼버렸는데?"""
