Speak keeps track of it and brings it back in later classes so you keep on repeating it until it's right there in your mind forever.,"스피크가 그걸 기억해 두었다가 나중 수업에서 다시 꺼내 줘서, 머릿속에 영원히 남을 때까지 계속 반복하게 돼."
"I'm wondering in my mind, are they deliberately coming in one by one to hear my full story because they find it funny?",속으로 궁금해. 내 이야기를 처음부터 듣는 게 재밌어서 일부러 하나씩 들어오는 건가?
By any chance is the test you're gonna do to me this?,혹시 나한테 할 테스트가 이거야?
It is the most degrading experience.,그건 가장 굴욕적인 경험이야.
I've been through it once and it took me maybe like 3 months to get over it.,"나도 한 번 겪어봤는데, 그걸 극복하는 데 한 3개월은 걸렸어."
You become nervous when you think your competence is being judged.,내 능력이 평가받고 있다고 느끼면 긴장하게 돼.
"My earliest vivid memory is a book series for kids. Thankfully my mom loved books and editing, we had many books on our shelves.","가장 어릴 적 선명한 기억은 어린이 책 시리즈야. 다행히 엄마가 책과 편집을 좋아해서, 선반에 책이 많았지."
One series I was obsessed with was the Lobinson series.,내가 푹 빠진 시리즈 중 하나가 로빈슨 시리즈였어.
Lobinson was this guy with a weirdly huge head with a few hairs.,로빈슨은 머리가 이상하게 크고 머리카락이 몇 올 없는 캐릭터였어.
"As I grew up, my interest shifted from children's book series to ""three land story.""",커가면서 관심사가 어린이 책 시리즈에서 『삼랜드 스토리』로 옮겨갔어.
This habit faded as I started making more friends.,친구를 더 사귀기 시작하면서 그 습관은 사라졌어.
"While watching ""Fall in Love at First Kiss,"" I used to dream of a love like that.",『첫키스만 50번째』를 보면서 그런 사랑을 꿈꿨었어.
"Thanks to my younger brother, who didn't tell my parents that I used to watch it, I managed to watch the whole series at the end of my senior years.","남동생이 부모님이한테 안 일러줘서, 고3 말미에 그 시리즈를 다 볼 수 있었어."
I had to do something to break those habits.,그 습관들을 끊으려면 뭔가 해야 했어.
"It's a bit sudden, but I blocked websites that I find addictive.","좀 갑작스럽긴 한데, 중독성 있는 사이트들을 차단했어."
"The more I consumed that content, the more depressed I got.",그 콘텐츠를 많이 소비할수록 더 우울해졌어.
It is deeply distressing to see the human cost of these recurring conflicts.,이런 반복되는 갈등으로 인한 인명 피해를 보면 정말 가슴이 아파.
"Often, these cycles of violence are fueled by competition for resources, systemic power struggles, and historical patterns that are hard to break, making the search for lasting peace incredibly difficult.","이런 폭력의 악순환은 종종 자원 경쟁, 구조적인 권력 다툼, 그리고 깨기 어려운 역사적 패턴에 의해 촉발되어서, 지속 가능한 평화를 찾는 일이 정말 어려워."
It's very timely for me as a person in the IT field. Children nowadays significantly rely on AI without engaging their own thinking processes.,IT 분야에 있는 나한테는 정말 시의적절한 이야기야. 요즘 아이들은 스스로 생각하기보다 AI에 크게 의존해.
"The text outlines a researcher's strategy for effectively using AI, grounded in the 10-80-10 principle.","그 글은 10-80-10 원칙에 기반한, AI를 효과적으로 쓰는 연구자의 전략을 설명하고 있어."
I've been jotting notes on my hand and seeking feedback from AI.,손등에 메모를 적고 AI한테 피드백을 받아왔어.
I just watched a video discussing these symptoms.,방금 그런 증상들을 다루는 영상을 봤어.
Many students who have access to quality AI are likely to perform better in society.,질 좋은 AI를 쓸 수 있는 학생들은 사회에서 더 잘할 가능성이 높아.
This access may lead them to become wealthier and provide opportunities for utilizing more advanced and intelligent AI.,"그 접근성이 더 부유해지게 하고, 더 발전되고 똑똑한 AI를 쓸 기회까지 줄 수 있어."
Doubt kills,의심은 모든 걸 죽인다
They were heavily exposed to social media.,그들은 소셜미디어에 심하게 노출됐어.
He wasn't qualified to be a president.,그는 대통령이 될 자격이 없었어.
We talked about a lot of stuff yesterday.,어제 이런저런 이야기를 많이 했어.
Students tend to heavily rely on A.I. without going through a thinking process,학생들은 사고 과정을 거치지 않고 AI에 크게 의존하는 경향이 있어.
it isn't really that different from others.,사실 다른 것들과 크게 다르진 않아.
